ДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДД
           Alcatel DB Series Service Softvare Ver 4.1         
                (c) 2000 ANDROMEDA GSM GRUP                   
                        gmgsm@viper.pl                        
ДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДДД
06-09-2000 | 09:25:14 |  IMEI: 332064-67-351162-7 | AMD - 1Mb   | Ver.016A | Type:BE1E-1JD1DE/3DS05150AJA | MENU: 1 
06-09-2000 | 09:46:29 |  IMEI: 332064-67-340310-6 | AMD - 1Mb   | Ver.016A | Type:BE1E-1JD1DE/3DS05150AJA | MENU: 1 
06-09-2000 | 10:03:58 |  IMEI: 332064-67-340259-5 | AMD - 1Mb   | Ver.016A | Type:BE1E-1JD1DE/3DS05150AJA | MENU: 1 
06-09-2000 | 10:21:30 |  IMEI: 332064-67-340441-9 | FUJITSU 1Mb | Ver.016A | Type:BE1E-1JD1DE/3DS05150AJA | MENU: 1 
06-09-2000 | 10:47:33 |  IMEI: 332064-67-340360-1 | FUJITSU 1Mb | Ver.016A | Type:BE1E-1JD1DE/3DS05150AJA | MENU: 1 
06-09-2000 | 11:04:22 |  IMEI: 332064-67-351067-8 | AMD - 1Mb   | Ver.016A | Type:BE1E-1JD1DE/3DS05150AJA | MENU: 1 
06-09-2000 | 11:24:59 |  IMEI: 332064-67-351363-1 | AMD - 1Mb   | Ver.016A | Type:BE1E-1JD1DE/3DS05150AJA | MENU: 1 
06-09-2000 | 11:42:35 |  IMEI: 332064-67-351217-9 | AMD - 1Mb   | Ver.016A | Type:BE1E-1JD1DE/3DS05150AJA | MENU: 1 
06-09-2000 | 12:04:09 |  IMEI: 332064-67-340412-0 | AMD - 1Mb   | Ver.016A | Type:BE1E-1JD1DE/3DS05150AJA | MENU: 1 
06-09-2000 | 12:42:03 |  IMEI: 332064-67-350910-0 | AMD - 1Mb   | Ver.016A | Type:BE1E-1JD1DE/3DS05150AJA | MENU: 1 
06-09-2000 | 12:42:26 |  IMEI: 332064-67-350910-0 | AMD - 1Mb   | Ver.016A | Type:BE1E-1JD1DE/3DS05150AJA | MENU: 1 
06-09-2000 | 12:57:27 |  IMEI: 332064-67-340247-0 | AMD - 1Mb   | Ver.016B | Type:BE1E-1JD1DE/3DS05150AJA | MENU: 1 
06-09-2000 | 13:03:11 |  IMEI: 332064-67-340247-0 | AMD - 1Mb   | Ver.016A | Type:BE1E-1JD1DE/3DS05150AJA | MENU: 1 
06-09-2000 | 14:37:57 |  IMEI: 332064-67-340233-0 | AMD - 1Mb   | Ver.016A | Type:BE1E-1JD1DE/3DS05150AJA | MENU: 1 
06-09-2000 | 15:00:35 |  IMEI: 332064-67-340352-8 | FUJITSU 1Mb | Ver.016A | Type:BE1E-1JD1DE/3DS05150AJA | MENU: 1 
06-09-2000 | 15:22:54 |  IMEI: 332064-67-340446-8 | AMD - 1Mb   | Ver.016A | Type:BE1E-1JD1DE/3DS05150AJA | MENU: 1 
